PFA_Name,Year,Population,Area_Sq_Km,IMD_Score,Police_Count,Crime_Count,Alpha_i,Beta_i,Sigma_i,Spillover_Force,E_Prime_i
Metropolitan Police,2024.0,9035432.600000054,1569.55,58.95259528047169,33793,486681.0,0.005895259528047169,0.12245030082651888,0.04755964035731477,269.9253642518066,-5276.328094480444
Norfolk,2024.0,937535.2000000104,5383.6900000000005,57.97262889600568,1899,37654.0,0.005797262889600569,0.10215391608359846,0.09268266651126425,187.13063131095714,3043.5274934839354
North Wales,2024.0,695707.7000000011,6153.49,51.97845788460139,1721,41092.0,0.00519784578846014,0.1021873612258505,0.08306468719691056,199.26891373564357,-920.9413518458376
North Yorkshire,2024.0,841198.400000006,8309.289999999999,39.403933797073634,1652,35868.0,0.003940393379707364,0.20383832283308367,0.11909125230974618,455.7882797016781,5787.4275745146715
Northamptonshire,2024.0,2363120.600000009,6701.4400000000005,49.80767916922867,1473,40211.0,0.004980767916922867,0.11115213745401539,0.06192713856900558,211.06373054336538,2880.09306192417
Northumbria,2024.0,1501138.5000000186,5560.13,64.01796301740093,3830,92633.0,0.006401796301740093,0.12401497637340336,0.09835828127569135,185.79921267605636,6658.676421515078
Nottinghamshire,2024.0,1182640.6000000015,2159.45,53.07263995786478,2401,62550.0,0.005307263995786478,0.10840277520148625,0.09955960504763975,319.4685447805073,-4897.481991636572
South Wales,2024.0,1358481.600000009,2077.2799999999997,51.97845788460139,3529,65817.0,0.00519784578846014,0.14572891600831553,0.1089182367122207,148.7467529283638,-2905.3068792524737
South Yorkshire,2024.0,1423279.9000000171,1551.59,67.056185956853,3027,83722.0,0.0067056185956853006,0.11471019791218902,0.015613475774641972,409.7899210185824,-3.858956184064567
Staffordshire,2024.0,1171755.400000006,2713.75,50.06831967597653,2001,53436.0,0.005006831967597654,0.08982026263311897,0.07129180540928623,369.8662225374247,6711.423266540214
Suffolk,2024.0,1032020.0000000056,5061.04,51.6708943367096,1400,25372.0,0.00516708943367096,0.13530327152921565,0.14341576353873253,260.686823987939,5089.59179496341
Surrey,2024.0,1242872.6000000127,1662.56,30.98171738979266,2295,44109.0,0.003098171738979266,0.2660058427668317,0.05701189552104819,900.3865597491239,1452.914680344764
Sussex,2024.0,1752447.8000000045,3782.5,49.99813447905561,3182,76187.0,0.004999813447905561,0.11600358087472414,0.09634856180752262,350.1012764424644,8520.431156703777
Thames Valley,2024.0,4349433.900000021,10435.39,36.4435697646696,5023,92816.0,0.00364435697646696,0.1003838080153479,0.03805537265928489,484.0906446471928,143.34758965681186
Warwickshire,2024.0,627490.3000000082,1975.11,45.77359868463561,1149,24738.0,0.004577359868463561,0.15838532390742097,0.06773890014849437,358.858920691863,-2020.9480819577066
West Mercia,2024.0,1144954.7000000104,5228.22,49.66931616993597,2524,53984.0,0.004966931616993597,0.13029769339600716,0.18872224997297424,293.519040979287,-10698.56362938916
West Midlands,2024.0,3019465.200000033,901.63,66.66153194009041,7995,162062.0,0.006666153194009042,0.15012353760176742,0.11128989174520815,216.3048792861274,19170.337491216353
West Yorkshire,2024.0,2424013.400000021,2029.21,64.63197258961651,6137,153459.0,0.006463197258961651,0.11522596760766896,0.05099658930761067,339.2944144071264,-10161.287118601938
Wiltshire,2024.0,764525.0000000037,3485.5,43.84260120986505,1243,28493.0,0.004384260120986506,0.11487447731273925,0.06640834539986576,286.1483690420459,3154.2286215023064
Avon and Somerset,2025.0,1331627.2000000104,4666.95,41.86992184552263,3314,103381.0,0.004186992184552264,0.012422523874295257,0.10756321868221361,229.4318031874306,13422.928529311761
Bedfordshire,2025.0,755581.4000000097,1235.46,53.920716320716316,1454,31307.0,0.005392071632071632,0.11270797244535909,0.023083069937949785,249.9464141274423,-21.992034704867585
Cambridgeshire,2025.0,941617.0,3389.6400000000003,45.85250240330455,1707,44468.0,0.004585250240330455,0.07024328355597532,0.0399661413812735,225.05466569392962,-545.0853228751491
Cheshire,2025.0,1145389.400000006,2346.16,49.520938645426355,2417,44511.0,0.004952093864542636,0.15422779505666748,0.13203885078594643,262.37490306732,-3582.1743262923146
Cleveland,2025.0,604630.8000000063,597.65,67.99951660064139,1504,46417.0,0.006799951660064139,0.09159476645848923,0.06268581534854548,206.26890183097467,6660.678244116645
Cumbria,2025.0,1502860.1999999732,20303.67,55.91788016232991,1384,20627.0,0.005591788016232991,0.20361293451486664,0.0816936031230837,414.22729467874007,460.93878735262484
Derbyshire,2025.0,1093235.5999999982,2624.74,53.265624239958676,2123,57883.0,0.005326562423995868,0.14814425669653938,0.1102717057771467,374.104631372214,893.3126202440584
Devon and Cornwall,2025.0,1852860.600000009,10268.31,54.989900597778934,3569,88473.0,0.005498990059777894,0.07743189173725668,0.2675804628300053,294.9082576321907,-18960.501363590876
Dorset,2025.0,1621711.8000000007,2977.06,48.08856502242153,1404,32640.0,0.004808856502242153,0.15378410184550698,0.11395248665466114,360.00829492736244,-2407.33727458468
Durham,2025.0,653553.0000000037,2423.3799999999997,65.66666666666667,1400,40628.0,0.006566666666666668,0.10805410022536045,0.0793845019966066,281.03500992661156,1197.7032897755782
Dyfed-Powys,2025.0,525530.0000000009,10954.32,51.97845788460139,1261,24867.0,0.00519784578846014,0.13394201622071683,0.16279059646281935,239.58273395559485,-9181.499060921757
Essex,2025.0,1939963.8000000045,3663.97,48.64249830130973,3759,79257.0,0.004864249830130973,0.22864365783987517,0.19798796535805316,886.9550260807054,-8593.998107434812
Gloucestershire,2025.0,676802.2000000067,2652.4500000000003,42.82169693450181,1349,33788.0,0.004282169693450181,0.13115319987556437,0.11710170519428939,242.8102434464798,2224.067277859705
Greater Manchester,2025.0,3028880.200000003,1276.12,64.06394920617097,8111,14.0,0.0064063949206170975,208.9319847020308,0.09409959303458676,546.1569993146247,350.65901832126207
